,Szak neve:Programtervezõ informatikus BSc,Szakfelelõs:Fülöp Zoltán,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Gyak. Kredit,MBNXK111E,Diszkrét matematika I. ea,Czédli Gábor,2,Unnamed: 7,2.1,Kollokvium,Unnamed: 8,24,IB104E,Programozás alapjai ea,Gergely Tamás,4,4.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,17,IB152e,Adatbázis alapú rendszerek ea,Balázs Péter,"IB501e, IB501g",Elõfeltétel,1,39,MBNXK112E,Diszkrét matematika II. ea,"MBNXK111E, MBNXK111G",IBK404e,Algoritmusok és adatszerkezetek II. ea,Farkas Richard,"IBK304e, IBK304g",IB611e,Rendszerfejlesztés II. ea,Gyimóthy Tibor,"IB153e, IB153l",Szak neve:,Programtervezõ informatikus BSc,Szakfelelõs:,Fülöp Zoltán,Nappali tagozat,IB155e,Számítógépes grafika ea,Nyúl László,"IB104E, IB104L",FSZV00,Fizika SZV ea,IB3000,Szakdolgozat készítése 1. (pti),10,Gyakorlati jegy,Köztelezõen teljesítendõ mat,4m6atika és számítástudományi ismeretek,gyak,Összesen:,180,Szoftverfejlesztés specializáci,1: 4Differenciált matematikai és számítástudományi is,Informatikai modellalkotás s,e8cializáció: Differenciált matematikai és számítástudo,Képfeldolgozás:Differenciált,8atematikai és számítástudományi ismeretek A blokk
0,Szak neve:Programtervezõ informatikus BSc,Szakfelelõs:Fülöp Zoltán,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Gyak. Kredit,MBNXK111E,Diszkrét matematika I. ea,Czédli Gábor,2.0,Unnamed: 7,2.1,Kollokvium,Unnamed: 8,24.0,IB104E,Programozás alapjai ea,Gergely Tamás,4.0,4.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,17.0,IB152e,Adatbázis alapú rendszerek ea,Balázs Péter,"IB501e, IB501g",Elõfeltétel,1.0,39.0,MBNXK112E,Diszkrét matematika II. ea,"MBNXK111E, MBNXK111G",IBK404e,Algoritmusok és adatszerkezetek II. ea,Farkas Richard,"IBK304e, IBK304g",IB611e,Rendszerfejlesztés II. ea,Gyimóthy Tibor,"IB153e, IB153l",Szak neve:,Programtervezõ informatikus BSc,Szakfelelõs:,Fülöp Zoltán,Nappali tagozat,IB155e,Számítógépes grafika ea,Nyúl László,"IB104E, IB104L",FSZV00,Fizika SZV ea,IB3000,Szakdolgozat készítése 1. (pti),10.0,Gyakorlati jegy,Köztelezõen teljesítendõ mat,4m6atika és számítástudományi ismeretek,gyak,Összesen:,180.0,Szoftverfejlesztés specializáci,1: 4Differenciált matematikai és számítástudományi is,Informatikai modellalkotás s,e8cializáció: Differenciált matematikai és számítástudo,Képfeldolgozás:Differenciált,8atematikai és számítástudományi ismeretek A blokk
1,Kurzuskód,"Kurzus címe, típusa (ea, sz, gy, lab, konz stb.)",Tárgyfelelõs,Elõfeltétel (kurzus kódja),"Elõfeltétel
típusa",félévek,Kredit,Teljesítés módja,"Kollokviumon
belül gyakorlati
ismeret",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,heti tanóraszám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,MBNXK111G,Diszkrét matematika I. gy,Czédli Gábor,2.0,,3,Gyakorlati jegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,MBNXLK311E,Kalkulus I. ea,Szabó Tamás,2.0,,2,Kollokvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,MBNXK311G,Kalkulus I. gy,Szabó Tamás,2.0,,3,Gyakorlati jegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,"MBNXK311E, MBNXK311kE",Elõfeltétel,,2,,,,,MBNXK262E,A sztochasztika alapjai ea,Viharos László,,,2,Kollokvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,"MBNXK311E, MBNXK311kE",Elõfeltétel,,2,,,,,MBNXK262G,A sztochasztika alapjai gy,Viharos László,,,3,Gyakorlati jegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,MBNXK262E,Elõfeltétel,,,2,,,,MBNX363E,Alkalmazott statisztika ea,Viharos László,,,2,Kollokvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,MBNXK262E,Elõfeltétel,,,1,,,,MBNX363G,Alkalmazott statisztika lab,Viharos László,,,1,Gyakorlati jegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,MBNXK111E,Elõfeltétel,,2,,,,,IBK203e,Operációkutatás I. ea,Csendes Tibor,,,2,Kollokvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,MBNXK111E,Elõfeltétel,,1,,,,,IBK203g,Operációkutatás I. gy,Csendes Tibor,,,2,Gyakorlati jegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,"MBNXK311E, MBNXK311kE, MBNXK111E",,,,2,,,,IBK301e,Közelítõ és szimbolikus számítások I. ea,Csendes Tibor,,,2,Kollokvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,"MBNXK311E, MBNXK311kE, MBNXK111E",,,,1,,,,IBK301g,Közelítõ és szimbolikus számítások I. gy,Csendes Tibor,,,2,Gyakorlati jegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,Elõfeltétel,,,2,,,,IBK304e,Algoritmusok és adatszerkezetek I. ea,Farkas Richárd,,,2,Kollokvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,Elõfeltétel,,,1,,,,IBK304g,Algoritmusok és adatszerkezetek I. gy,Farkas Richárd,,,2,Gyakorlati jegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,"IB202e, MBNXK111E",Elõfeltétel,,,,,2,,IBK154e,Mesterséges intelligencia I. ea,Jelasity Márk,,,2,Kollokvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,"IB202e, MBNXK111E",Elõfeltétel,,,,,1,,IBK154g,Mesterséges intelligencia I. gy,Jelasity Márk,,,2,Gyakorlati jegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,MBNXK111E vagy MBNXK111G,Elõfeltétel,,,,2,,,IBK403e,Formális nyelvek ea,Fülöp Zoltán,,,2,Kollokvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,MBNXK111E vagy MBNXK111G,Elõfeltétel,,,,1,,,IBK403g,Formális nyelvek gy,Fülöp Zoltán,,,2,Gyakorlati jegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,MBNXK111E vagy MBNXK111G,Elõfeltétel,,2,,,,,IBK604e,Logika és informatikai alkalmazásai ea,Iván Szabolcs,,,2,Kollokvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,MBNXK111E vagy MBNXK111G,Elõfeltétel,,1,,,,,IBK604g,Logika és informatikai alkalmazásai gy,Iván Szabolcs,,,2,Gyakorlati jegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,MBNXK111E vagy MBNXK111G,Elõfeltétel,,,,,2,,IBK507e,Bonyolultságelmélet ea,Iván Szabolcs,,,2,Kollokvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,MBNXK111E vagy MBNXK111G,Elõfeltétel,,,,,1,,IBK507g,Bonyolultságelmélet gy,Iván Szabolcs,,,2,Gyakorlati jegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,Gyakorlati jegy,,,IB104L,Programozás alapjai lab,Gergely Tamás,3.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
