0,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név,Kredit,Ajánlott félév,Mintatanterv,Tárgycsoport kódja,Tárgycsoport neve,Tárgytípus,Eredmény,Felv.szám,Kód:,Név
1,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,3,,TT-IBK304,Algoritmusok és adatszerkezetek I.,Kötelező,,,,,2,3,,TE-IBK304G,Algoritmusok és adatszerkezetek I.,Kötelező,,,IBK304G-00001,Algoritmusok és adatszerkezetek I. gyakorlat (tehetséggondozó program),2,3,,IBK304G-00001,Algoritmusok és adatszerkezetek I. gyakorlat (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
2,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,5,1,,TT-MBNXK111,Diszkrét matematika I.,Kötelező,,,,,3,1,,TE-MBNXK111G,Diszkrét matematika I.,Kötelező,,,MBNXK111G,Diszkrét matematika I.,3,1,,MBNXK111G,Diszkrét matematika I.,Kötelező,Gyakorlati jegy Közepes (3) 2020.12.22.,1,,,,,,,,,,,,
3,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,5,1,,TT-MBNXK311,Kalkulus I.,Kötelező,,,,,2,1,,TE-MBNXK311E,Kalkulus I.,Kötelező,,,MBNXK311E,Kalkulus I.,2,1,,MBNXK311E,Kalkulus I.,Kötelező,Kollokvium Elégséges (2) 2021.01.20.,1,,,,,,,,,,,,
4,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,3,3,,TT-MBNX363,Alkalmazott statisztika,Kötelező,,,,,1,3,,TE-MBNX363G,Alkalmazott statisztika,Kötelező,,,MBNX363G,Alkalmazott statisztika,1,3,,MBNX363G,Alkalmazott statisztika,Kötelező,Gyakorlati jegy Elégséges (2) 2022.12.12.,1,,,,,,,,,,,,
5,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,,,TT-IBK507,Bonyolultságelmélet,Kötelező,,,,,2,5,,TE-IBK507G,Bonyolultságelmélet,Kötelező,,,IBK507G,Bonyolultságelmélet gyakorlat,2,5,,IBK507G,Bonyolultságelmélet gyakorlat,Kötelezően választható,,2,,,,,,,,,,,,
6,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,3,,TT-IBK301,Közelítő és szimbolikus számítások I.,Kötelező,,,,,2,3,,TE-IBK301G,Közelítő és szimbolikus számítások I.,Kötelező,,,IBK301G,Közelítő és szimbolikus számítások I.,2,3,,IBK301G,Közelítő és szimbolikus számítások I.,Kötelezően választható,Gyakorlati jegy Elégséges (2) 2021.12.14.,1,,,,,,,,,,,,
7,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,5,,TT-IBK154,Mesterséges intelligencia I.,Kötelező,,,,,2,5,,TE-IBK154G,Mesterséges intelligencia I.,Kötelező,,,IBK154G,Mesterséges intelligencia I.  gyakorlat,2,5,,IBK154G,Mesterséges intelligencia I.  gyakorlat,Kötelezően választható,,2,,,,,,,,,,,,
8,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,3,,TT-IBK304,Algoritmusok és adatszerkezetek I.,Kötelező,,,,,2,3,,TE-IBK304G,Algoritmusok és adatszerkezetek I.,Kötelező,,,IBK304G,Algoritmusok és adatszerkezetek I. gyakorlat,2,3,,IBK304G,Algoritmusok és adatszerkezetek I. gyakorlat,Kötelezően választható,Gyakorlati jegy Jó (4) 2021.12.09.,1,,,,,,,,,,,,
9,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,3,,TT-IBK301,Közelítő és szimbolikus számítások I.,Kötelező,,,,,2,3,,TE-IBK301E,Közelítő és szimbolikus számítások I.,Kötelező,,,IBK301E-00001,Közelítő és szimbolikus számítások I. (tehetséggondozó program),2,3,,IBK301E-00001,Közelítő és szimbolikus számítások I. (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
10,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,2,,TT-IBK203,Operációkutatás I.,Kötelező,,,,,2,2,,TE-IBK203G,Operációkutatás I.,Kötelező,,,IBK203G-00001,Operációkutatás I. gyakorlat (tehetséggondozó program),2,2,,IBK203G-00001,Operációkutatás I. gyakorlat (tehetséggondozó program),Kötelezően választható,,,,,,,,,,,,,,
11,,,46,,,MK-ALA,Köztelezően teljesítendő matematika és számítástudományi ismeretek,Kötelező,,,,,4,3,,TT-IBK304,Algoritmusok és adatszerkezetek I.,Kötelező,,,,,2,3,,TE-IBK304E,Algoritmusok és adatszerkezetek I.,Kötelező,,,IBK304E,Algoritmusok és adatszerkezetek I.,2,3,,IBK304E,Algoritmusok és adatszerkezetek I.,Kötelezően választható,Kollokvium Jó (4) 2022.01.06.,1,,,,,,,,,,,,
